Date,Symbol,Simple_Return,Log_Return,Simple_Return_Pct,Log_Return_Pct,Absolute_Return,Return_Category,Year,Month,Quarter,Weekday,Month_Name
2023-09-19,AAPL,0.0061807880950697225,0.0061617653677226315,0.6180788095069722,0.6161765367722631,0.0061807880950697225,Positive,2023,9,Q3,Tuesday,September
2023-09-19,GOOGL,-0.0012302562327924926,-0.0012310136192416482,-0.12302562327924926,-0.12310136192416482,0.0012302562327924926,Negative,2023,9,Q3,Tuesday,September
2023-09-19,MSFT,-0.0012459336528797271,-0.0012467104735251113,-0.12459336528797271,-0.12467104735251114,0.0012459336528797271,Negative,2023,9,Q3,Tuesday,September
2023-09-20,AAPL,-0.01999208893503246,-0.020194634834829025,-1.999208893503246,-2.0194634834829026,0.01999208893503246,Negative,2023,9,Q3,Wednesday,September
2023-09-20,GOOGL,-0.031150120984526852,-0.0316456027099167,-3.1150120984526852,-3.16456027099167,0.031150120984526852,Negative,2023,9,Q3,Wednesday,September
2023-09-20,MSFT,-0.023976840742211514,-0.024268964102832743,-2.3976840742211514,-2.426896410283274,0.023976840742211514,Negative,2023,9,Q3,Wednesday,September
2023-09-21,AAPL,-0.008889528862696783,-0.008929276457993147,-0.8889528862696783,-0.8929276457993147,0.008889528862696783,Negative,2023,9,Q3,Thursday,September
2023-09-21,GOOGL,-0.024674694775770667,-0.02498421724804224,-2.4674694775770667,-2.4984217248042238,0.024674694775770667,Negative,2023,9,Q3,Thursday,September
2023-09-21,MSFT,-0.0038657866103174454,-0.0038732780765481627,-0.38657866103174454,-0.3873278076548163,0.0038657866103174454,Negative,2023,9,Q3,Thursday,September
2023-09-22,AAPL,0.004944583720798645,0.004932399414421852,0.49445837207986454,0.49323994144218525,0.004944583720798645,Positive,2023,9,Q3,Friday,September
2023-09-22,GOOGL,-0.001456779365653138,-0.001457841500369183,-0.1456779365653138,-0.1457841500369183,0.001456779365653138,Negative,2023,9,Q3,Friday,September
2023-09-22,MSFT,-0.007886445576419265,-0.007917708063414727,-0.7886445576419265,-0.7917708063414728,0.007886445576419265,Negative,2023,9,Q3,Friday,September
2023-09-25,AAPL,0.0073802504318611906,0.007353149642365742,0.7380250431861191,0.7353149642365742,0.0073802504318611906,Positive,2023,9,Q3,Monday,September
2023-09-25,GOOGL,0.006602699610608775,0.00658099726652901,0.6602699610608775,0.658099726652901,0.006602699610608775,Positive,2023,9,Q3,Monday,September
2023-09-25,MSFT,0.001671851402712532,0.0016704554148624067,0.1671851402712532,0.16704554148624068,0.001671851402712532,Positive,2023,9,Q3,Monday,September
2023-09-26,AAPL,-0.023398521742668765,-0.023676613678340803,-2.3398521742668765,-2.36766136783408,0.023398521742668765,Negative,2023,9,Q3,Tuesday,September
2023-09-26,GOOGL,-0.019372904745119546,-0.019563018844599562,-1.9372904745119546,-1.9563018844599562,0.019372904745119546,Negative,2023,9,Q3,Tuesday,September
2023-09-26,MSFT,-0.017005613484537663,-0.01715186941540367,-1.7005613484537663,-1.715186941540367,0.017005613484537663,Negative,2023,9,Q3,Tuesday,September
2023-09-27,AAPL,-0.008897287741185145,-0.008937104958533244,-0.8897287741185145,-0.8937104958533244,0.008897287741185145,Negative,2023,9,Q3,Wednesday,September
2023-09-27,GOOGL,0.015322323143386773,0.015206121829505372,1.5322323143386773,1.5206121829505372,0.015322323143386773,Positive,2023,9,Q3,Wednesday,September
2023-09-27,MSFT,0.002082201351579993,0.002080036574825615,0.2082201351579993,0.2080036574825615,0.002082201351579993,Positive,2023,9,Q3,Wednesday,September
2023-09-28,AAPL,0.0015255458410070588,0.0015243833780607167,0.15255458410070588,0.15243833780607166,0.0015255458410070588,Positive,2023,9,Q3,Thursday,September
2023-09-28,GOOGL,0.013558926655296455,0.01346782696153451,1.3558926655296455,1.346782696153451,0.013558926655296455,Positive,2023,9,Q3,Thursday,September
2023-09-28,MSFT,0.0027176475062333783,0.002713961379135115,0.2717647506233378,0.2713961379135115,0.0027176475062333783,Positive,2023,9,Q3,Thursday,September
2023-09-29,AAPL,0.0030464441917477103,0.0030418131836622347,0.30464441917477103,0.3041813183662235,0.0030464441917477103,Positive,2023,9,Q3,Friday,September
2023-09-29,GOOGL,-0.010958963601957916,-0.01101945540117649,-1.0958963601957916,-1.101945540117649,0.010958963601957916,Negative,2023,9,Q3,Friday,September
2023-09-29,MSFT,0.0067272592769203055,0.006704732241931926,0.6727259276920305,0.6704732241931926,0.0067272592769203055,Positive,2023,9,Q3,Friday,September
2023-10-02,AAPL,0.01483569259855999,0.014726720176655246,1.483569259855999,1.4726720176655246,0.01483569259855999,Positive,2023,10,Q4,Monday,October
2023-10-02,GOOGL,0.02529417490079311,0.024979571316990332,2.529417490079311,2.4979571316990334,0.02529417490079311,Positive,2023,10,Q4,Monday,October
2023-10-02,MSFT,0.019160809069931117,0.018979552457047612,1.9160809069931117,1.8979552457047613,0.019160809069931117,Positive,2023,10,Q4,Monday,October
2023-10-03,AAPL,-0.00776974696510746,-0.007800088716396624,-0.776974696510746,-0.7800088716396624,0.00776974696510746,Negative,2023,10,Q4,Tuesday,October
2023-10-03,GOOGL,-0.012968674762259491,-0.0130535022227654,-1.2968674762259491,-1.30535022227654,0.012968674762259491,Negative,2023,10,Q4,Tuesday,October
2023-10-03,MSFT,-0.02613418907407672,-0.02648175595419697,-2.613418907407672,-2.6481755954196973,0.02613418907407672,Negative,2023,10,Q4,Tuesday,October
2023-10-04,AAPL,0.007308460038749409,0.007281882659264023,0.7308460038749409,0.7281882659264023,0.007308460038749409,Positive,2023,10,Q4,Wednesday,October
2023-10-04,GOOGL,0.021218790036479085,0.020996806173297144,2.1218790036479085,2.0996806173297142,0.021218790036479085,Positive,2023,10,Q4,Wednesday,October
2023-10-04,MSFT,0.017773176367881005,0.017617080303674825,1.7773176367881005,1.7617080303674826,0.017773176367881005,Positive,2023,10,Q4,Wednesday,October
2023-10-05,AAPL,0.007197939202279402,0.0071721576798620896,0.7197939202279402,0.717215767986209,0.007197939202279402,Positive,2023,10,Q4,Thursday,October
2023-10-05,GOOGL,-0.001256933069677335,-0.0012577236726075767,-0.1256933069677335,-0.12577236726075766,0.001256933069677335,Negative,2023,10,Q4,Thursday,October
2023-10-05,MSFT,0.0012541140145323482,0.0012533282704248123,0.12541140145323482,0.12533282704248122,0.0012541140145323482,Positive,2023,10,Q4,Thursday,October
2023-10-06,AAPL,0.014750462309121248,0.01464273232594711,1.4750462309121248,1.464273232594711,0.014750462309121248,Positive,2023,10,Q4,Friday,October
2023-10-06,GOOGL,0.01858288760929261,0.01841233541490918,1.8582887609292609,1.8412335414909178,0.01858288760929261,Positive,2023,10,Q4,Friday,October
2023-10-06,MSFT,0.02473717011375509,0.024436160308081278,2.473717011375509,2.4436160308081276,0.02473717011375509,Positive,2023,10,Q4,Friday,October
2023-10-09,AAPL,0.008451140730374673,0.008415629772350074,0.8451140730374673,0.8415629772350074,0.008451140730374673,Positive,2023,10,Q4,Monday,October
2023-10-09,GOOGL,0.006105409438325049,0.0060868469422299485,0.6105409438325049,0.6086846942229949,0.006105409438325049,Positive,2023,10,Q4,Monday,October
2023-10-09,MSFT,0.00782255509538543,0.0077921175411931045,0.7822555095385431,0.7792117541193104,0.00782255509538543,Positive,2023,10,Q4,Monday,October
2023-10-10,AAPL,-0.0033520409107558047,-0.0033576715862470422,-0.33520409107558047,-0.33576715862470424,0.0033520409107558047,Negative,2023,10,Q4,Tuesday,October
2023-10-10,GOOGL,-0.0026006304114589707,-0.0026040179251160824,-0.26006304114589707,-0.2604017925116082,0.0026006304114589707,Negative,2023,10,Q4,Tuesday,October
2023-10-10,MSFT,-0.004335737870960421,-0.004345164439691591,-0.4335737870960421,-0.43451644396915906,0.004335737870960421,Negative,2023,10,Q4,Tuesday,October
2023-10-11,AAPL,0.007903992946358462,0.007872920020176631,0.7903992946358462,0.7872920020176631,0.007903992946358462,Positive,2023,10,Q4,Wednesday,October
2023-10-11,GOOGL,0.0180357634896533,0.017875048640572773,1.80357634896533,1.7875048640572773,0.0180357634896533,Positive,2023,10,Q4,Wednesday,October
